[09:13:06 INF] Usage: Total CPU 0.64% | App CPU 0.00% | App Heap 5.25MB
[09:13:07 INF] Usage: Total CPU 7.02% | App CPU 0.00% | App Heap 5.26MB
[09:13:08 INF] Usage: Total CPU 6.11% | App CPU 0.00% | App Heap 5.26MB
[09:13:09 INF] Usage: Total CPU 5.62% | App CPU 0.00% | App Heap 5.26MB
[09:13:10 INF] Usage: Total CPU 5.89% | App CPU 1.35% | App Heap 5.26MB
[09:13:11 INF] Usage: Total CPU 5.97% | App CPU 0.00% | App Heap 5.26MB
[09:13:12 INF] Usage: Total CPU 5.03% | App CPU 0.00% | App Heap 5.26MB
[09:13:13 INF] Usage: Total CPU 4.04% | App CPU 1.16% | App Heap 5.26MB
[09:13:14 INF] Usage: Total CPU 0.32% | App CPU 0.00% | App Heap 5.26MB
[09:13:15 INF] Usage: Total CPU 0.49% | App CPU 0.00% | App Heap 5.26MB
[09:13:16 INF] Usage: Total CPU 1.88% | App CPU 0.00% | App Heap 5.26MB
[09:13:17 INF] Usage: Total CPU 4.65% | App CPU 0.00% | App Heap 5.26MB
[09:13:18 INF] Usage: Total CPU 4.44% | App CPU 0.00% | App Heap 5.26MB
[09:13:19 INF] Usage: Total CPU 5.02% | App CPU 0.06% | App Heap 5.26MB
[09:13:20 INF] Usage: Total CPU 6.34% | App CPU 0.00% | App Heap 5.26MB
[09:13:21 INF] Usage: Total CPU 5.39% | App CPU 0.00% | App Heap 5.26MB
[09:13:22 INF] Usage: Total CPU 4.65% | App CPU 0.00% | App Heap 5.26MB
[09:13:23 INF] Usage: Total CPU 1.45% | App CPU 0.00% | App Heap 5.26MB
[09:13:24 INF] Usage: Total CPU 1.65% | App CPU 0.00% | App Heap 5.27MB
[09:13:25 INF] Usage: Total CPU 1.24% | App CPU 0.00% | App Heap 5.24MB
[09:13:26 INF] Usage: Total CPU 1.31% | App CPU 0.00% | App Heap 5.17MB
[09:13:27 INF] Usage: Total CPU 1.80% | App CPU 0.00% | App Heap 5.17MB
[09:13:28 INF] Usage: Total CPU 0.98% | App CPU 0.00% | App Heap 5.16MB
[09:13:29 INF] Usage: Total CPU 0.08% | App CPU 0.00% | App Heap 5.16MB
[09:13:30 INF] Usage: Total CPU 4.89% | App CPU 0.00% | App Heap 5.17MB
[09:13:31 INF] Usage: Total CPU 7.62% | App CPU 1.55% | App Heap 5.16MB
[09:13:32 INF] Usage: Total CPU 8.12% | App CPU 0.00% | App Heap 5.16MB
[09:13:33 INF] Usage: Total CPU 3.68% | App CPU 0.00% | App Heap 5.17MB
[09:13:34 INF] Usage: Total CPU 5.15% | App CPU 0.00% | App Heap 5.17MB
[09:13:35 INF] Usage: Total CPU 4.47% | App CPU 0.00% | App Heap 5.16MB
[09:13:37 INF] Usage: Total CPU 4.70% | App CPU 0.00% | App Heap 5.17MB
[09:13:38 INF] Usage: Total CPU 3.16% | App CPU 1.48% | App Heap 5.17MB
[09:13:39 INF] Usage: Total CPU 0.50% | App CPU 0.00% | App Heap 5.17MB
[09:13:40 INF] Usage: Total CPU 1.24% | App CPU 0.00% | App Heap 5.16MB
[09:13:41 INF] Usage: Total CPU 2.76% | App CPU 0.06% | App Heap 5.17MB
[09:13:42 INF] Usage: Total CPU 2.62% | App CPU 0.00% | App Heap 5.16MB
[09:13:43 INF] Usage: Total CPU 4.22% | App CPU 0.77% | App Heap 5.16MB
[09:13:44 INF] Usage: Total CPU 4.77% | App CPU 1.48% | App Heap 5.17MB
[09:13:45 INF] Usage: Total CPU 7.29% | App CPU 1.54% | App Heap 5.16MB
[09:13:46 INF] Usage: Total CPU 5.35% | App CPU 0.00% | App Heap 5.17MB
[09:13:47 INF] Usage: Total CPU 2.00% | App CPU 0.00% | App Heap 5.16MB
[09:13:48 INF] Usage: Total CPU 1.23% | App CPU 0.00% | App Heap 5.16MB
[09:13:49 INF] Usage: Total CPU 3.01% | App CPU 0.00% | App Heap 5.17MB
[09:13:50 INF] Usage: Total CPU 2.42% | App CPU 0.06% | App Heap 5.16MB
[09:13:51 INF] Usage: Total CPU 2.04% | App CPU 0.00% | App Heap 5.16MB
